asset_id,phase,category,subject,state,path,logical_canvas,pivot,frames,fps,prompt_section,status,notes,generation_canvas,direction,collision_reference,palette,negative_constraints,godot_import,reviewer,reference_source,reference_sha256,reference_rights_policy,sprite_layout,source_output,cleaned_output,qa_record,godot_evidence
character_xiaodong_hit,A5,character,xiaodong,hit,assets/characters/xiaodong/character_xiaodong_hit.png,128x128,feet_center,2,12,6.2,planned,non-gory,1024x1024,down_right,feet_center,brown_hair|warm_skin|black_dark_gray_clothing,no_text|no_logo|no_team_logo|no_sponsor_mark|no_platform_logo|no_tournament_logo|no_official_jersey|no_official_tournament_ui|no_trophy|no_stage|no_watermark|no_ui|no_environment|no_floor|no_cast_shadow|no_weapon|no_grenade|no_tactical_vest|no_red_orange_accent|no_exaggerated_charging_pose|no_extra_limbs|no_missing_limbs|no_photorealism|no_3d_render|no_vector_art|no_blurry_antialiased_edges|preserve_hair_length_color_body_type_clothing_color,filter_off|mipmaps_off|repeat_off|lossless,,assets/source/references/characters/xiaodong/reference_01.jpg,fa61d571bc7a78a297703c0174ab4d435413def09d478223b1f5f7df06738d52,R2,horizontal_2x1,,,,
character_xiaodong_death,A5,character,xiaodong,death,assets/characters/xiaodong/character_xiaodong_death.png,128x128,feet_center,6,10,6.2,planned,non-gory,1024x1024,down_right,feet_center,brown_hair|warm_skin|black_dark_gray_clothing,no_text|no_logo|no_team_logo|no_sponsor_mark|no_platform_logo|no_tournament_logo|no_official_jersey|no_official_tournament_ui|no_trophy|no_stage|no_watermark|no_ui|no_environment|no_floor|no_cast_shadow|no_weapon|no_grenade|no_tactical_vest|no_red_orange_accent|no_exaggerated_charging_pose|no_extra_limbs|no_missing_limbs|no_photorealism|no_3d_render|no_vector_art|no_blurry_antialiased_edges|preserve_hair_length_color_body_type_clothing_color,filter_off|mipmaps_off|repeat_off|lossless,,assets/source/references/characters/xiaodong/reference_01.jpg,fa61d571bc7a78a297703c0174ab4d435413def09d478223b1f5f7df06738d52,R2,horizontal_6x1,,,,
character_xiaodong_skill_breakin,A5,character,xiaodong,skill_breakin,assets/characters/xiaodong/character_xiaodong_skill_breakin.png,128x128,feet_center,6,12,6.2,planned,no weapon or effects,1024x1024,down_right,feet_center,brown_hair|warm_skin|black_dark_gray_clothing,no_text|no_logo|no_team_logo|no_sponsor_mark|no_platform_logo|no_tournament_logo|no_official_jersey|no_official_tournament_ui|no_trophy|no_stage|no_watermark|no_ui|no_environment|no_floor|no_cast_shadow|no_weapon|no_grenade|no_tactical_vest|no_red_orange_accent|no_exaggerated_charging_pose|no_extra_limbs|no_missing_limbs|no_photorealism|no_3d_render|no_vector_art|no_blurry_antialiased_edges|preserve_hair_length_color_body_type_clothing_color,filter_off|mipmaps_off|repeat_off|lossless,,assets/source/references/characters/xiaodong/reference_01.jpg,fa61d571bc7a78a297703c0174ab4d435413def09d478223b1f5f7df06738d52,R2,horizontal_6x1,,,,
portrait_xiaodong,A5,ui,xiaodong,portrait,assets/ui/portraits/portrait_xiaodong.png,128x128,center,1,0,6.2,planned,,1024x1024,none,none,brown_hair|warm_skin|black_dark_gray_clothing,no_text|no_logo|no_team_logo|no_sponsor_mark|no_platform_logo|no_tournament_logo|no_official_jersey|no_official_tournament_ui|no_trophy|no_stage|no_watermark|no_ui|no_environment|no_floor|no_cast_shadow|no_weapon|no_grenade|no_tactical_vest|no_red_orange_accent|no_exaggerated_charging_pose|no_extra_limbs|no_missing_limbs|no_photorealism|no_3d_render|no_vector_art|no_blurry_antialiased_edges|preserve_hair_length_color_body_type_clothing_color,filter_off|mipmaps_off|repeat_off|lossless,,assets/source/references/characters/xiaodong/reference_01.jpg,fa61d571bc7a78a297703c0174ab4d435413def09d478223b1f5f7df06738d52,R2,single,,,,
character_xiaodong_grip_pistol_back,A5,character,xiaodong,grip_pistol_back,assets/characters/xiaodong/grips/character_xiaodong_grip_pistol_back.png,128x128,shoulder_pivot,8,0,6.2,planned,empty-hand back arm layer; no weapon,1024x1024,eight_way,shoulder_pivot,brown_hair|warm_skin|black_dark_gray_clothing,no_text|no_logo|no_team_logo|no_sponsor_mark|no_platform_logo|no_tournament_logo|no_official_jersey|no_official_tournament_ui|no_trophy|no_stage|no_watermark|no_ui|no_environment|no_floor|no_cast_shadow|no_weapon|no_grenade|no_tactical_vest|no_red_orange_accent|no_exaggerated_charging_pose|no_extra_limbs|no_missing_limbs|no_photorealism|no_3d_render|no_vector_art|no_blurry_antialiased_edges|preserve_hair_length_color_body_type_clothing_color,filter_off|mipmaps_off|repeat_off|lossless,,assets/source/references/characters/xiaodong/reference_01.jpg,fa61d571bc7a78a297703c0174ab4d435413def09d478223b1f5f7df06738d52,R2,horizontal_8x1,,,,
character_xiaodong_grip_pistol_front,A5,character,xiaodong,grip_pistol_front,assets/characters/xiaodong/grips/character_xiaodong_grip_pistol_front.png,128x128,shoulder_pivot,8,0,6.2,planned,empty-hand front arm layer; no weapon,1024x1024,eight_way,shoulder_pivot,brown_hair|warm_skin|black_dark_gray_clothing,no_text|no_logo|no_team_logo|no_sponsor_mark|no_platform_logo|no_tournament_logo|no_official_jersey|no_official_tournament_ui|no_trophy|no_stage|no_watermark|no_ui|no_environment|no_floor|no_cast_shadow|no_weapon|no_grenade|no_tactical_vest|no_red_orange_accent|no_exaggerated_charging_pose|no_extra_limbs|no_missing_limbs|no_photorealism|no_3d_render|no_vector_art|no_blurry_antialiased_edges|preserve_hair_length_color_body_type_clothing_color,filter_off|mipmaps_off|repeat_off|lossless,,assets/source/references/characters/xiaodong/reference_01.jpg,fa61d571bc7a78a297703c0174ab4d435413def09d478223b1f5f7df06738d52,R2,horizontal_8x1,,,,
character_xiaodong_grip_rifle_back,A5,character,xiaodong,grip_rifle_back,assets/characters/xiaodong/grips/character_xiaodong_grip_rifle_back.png,128x128,shoulder_pivot,8,0,6.2,planned,empty-hand back arm layer; no weapon,1024x1024,eight_way,shoulder_pivot,brown_hair|warm_skin|black_dark_gray_clothing,no_text|no_logo|no_team_logo|no_sponsor_mark|no_platform_logo|no_tournament_logo|no_official_jersey|no_official_tournament_ui|no_trophy|no_stage|no_watermark|no_ui|no_environment|no_floor|no_cast_shadow|no_weapon|no_grenade|no_tactical_vest|no_red_orange_accent|no_exaggerated_charging_pose|no_extra_limbs|no_missing_limbs|no_photorealism|no_3d_render|no_vector_art|no_blurry_antialiased_edges|preserve_hair_length_color_body_type_clothing_color,filter_off|mipmaps_off|repeat_off|lossless,,assets/source/references/characters/xiaodong/reference_01.jpg,fa61d571bc7a78a297703c0174ab4d435413def09d478223b1f5f7df06738d52,R2,horizontal_8x1,,,,
character_xiaodong_grip_rifle_front,A5,character,xiaodong,grip_rifle_front,assets/characters/xiaodong/grips/character_xiaodong_grip_rifle_front.png,128x128,shoulder_pivot,8,0,6.2,planned,empty-hand front arm layer; no weapon,1024x1024,eight_way,shoulder_pivot,brown_hair|warm_skin|black_dark_gray_clothing,no_text|no_logo|no_team_logo|no_sponsor_mark|no_platform_logo|no_tournament_logo|no_official_jersey|no_official_tournament_ui|no_trophy|no_stage|no_watermark|no_ui|no_environment|no_floor|no_cast_shadow|no_weapon|no_grenade|no_tactical_vest|no_red_orange_accent|no_exaggerated_charging_pose|no_extra_limbs|no_missing_limbs|no_photorealism|no_3d_render|no_vector_art|no_blurry_antialiased_edges|preserve_hair_length_color_body_type_clothing_color,filter_off|mipmaps_off|repeat_off|lossless,,assets/source/references/characters/xiaodong/reference_01.jpg,fa61d571bc7a78a297703c0174ab4d435413def09d478223b1f5f7df06738d52,R2,horizontal_8x1,,,,
character_xiaodong_grip_sniper_back,A5,character,xiaodong,grip_sniper_back,assets/characters/xiaodong/grips/character_xiaodong_grip_sniper_back.png,128x128,shoulder_pivot,8,0,6.2,planned,empty-hand back arm layer; no weapon,1024x1024,eight_way,shoulder_pivot,brown_hair|warm_skin|black_dark_gray_clothing,no_text|no_logo|no_team_logo|no_sponsor_mark|no_platform_logo|no_tournament_logo|no_official_jersey|no_official_tournament_ui|no_trophy|no_stage|no_watermark|no_ui|no_environment|no_floor|no_cast_shadow|no_weapon|no_grenade|no_tactical_vest|no_red_orange_accent|no_exaggerated_charging_pose|no_extra_limbs|no_missing_limbs|no_photorealism|no_3d_render|no_vector_art|no_blurry_antialiased_edges|preserve_hair_length_color_body_type_clothing_color,filter_off|mipmaps_off|repeat_off|lossless,,assets/source/references/characters/xiaodong/reference_01.jpg,fa61d571bc7a78a297703c0174ab4d435413def09d478223b1f5f7df06738d52,R2,horizontal_8x1,,,,
character_xiaodong_grip_sniper_front,A5,character,xiaodong,grip_sniper_front,assets/characters/xiaodong/grips/character_xiaodong_grip_sniper_front.png,128x128,shoulder_pivot,8,0,6.2,planned,empty-hand front arm layer; no weapon,1024x1024,eight_way,shoulder_pivot,brown_hair|warm_skin|black_dark_gray_clothing,no_text|no_logo|no_team_logo|no_sponsor_mark|no_platform_logo|no_tournament_logo|no_official_jersey|no_official_tournament_ui|no_trophy|no_stage|no_watermark|no_ui|no_environment|no_floor|no_cast_shadow|no_weapon|no_grenade|no_tactical_vest|no_red_orange_accent|no_exaggerated_charging_pose|no_extra_limbs|no_missing_limbs|no_photorealism|no_3d_render|no_vector_art|no_blurry_antialiased_edges|preserve_hair_length_color_body_type_clothing_color,filter_off|mipmaps_off|repeat_off|lossless,,assets/source/references/characters/xiaodong/reference_01.jpg,fa61d571bc7a78a297703c0174ab4d435413def09d478223b1f5f7df06738d52,R2,horizontal_8x1,,,,
